id	description	number_of_orders	price	url
32958526739	Женские кошельки, Маленький модный бренд, кожаный кошелек для женщин, женская сумка для карт, женский клатч 2020, Женский кошелек, кошелек с за...	2215 продано	277,21 руб.	//aliexpress.ru/item/32958526739.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-0&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001267349053	Женские кошельки с мультяшным фламинго, женские кошельки из кожи, милые женские кошельки, женский кошелек, держатель для карт, клатч, сумочк...		354,25 руб.	//aliexpress.ru/item/4001267349053.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-1&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001310895488	Женский кожаный тонкий кошелек, длинный дизайн, держатель для кредитных карт, органайзер, кошелек B99		276,41 - 286,74 руб.	//aliexpress.ru/item/1005001310895488.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-2&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
10000384483965	Кошелек с геометрическим узором, женский роскошный брендовый кожаный кошелек на молнии, кошельки с кисточками, дизайнерский Длинный кошеле...	528 продано	181,10 - 285,94 руб.	//aliexpress.ru/item/10000384483965.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-3&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001361396251	Duvence 2020 мужской кошелек Rfid практичный кредитный держатель для карт, банковские кошельки, тактический держатель карт, анти-вор, футляр для ка...	22 продано	1 190,62 - 1 270,05 руб.	//aliexpress.ru/item/1005001361396251.html?s=p&ad_pvid=2020092503465917625561685526320002505453_1&algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-4&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32684865960	Мужские бумажники, длинный Карманный Кошелек на молнии, мужской клатч, кожаный вместительный мужской кошелек, кожаный кошелек с ремнем		396,35 руб.	//aliexpress.ru/item/32684865960.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-5&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001444979793	Длинный кошелек на молнии для женщин, роскошные кожаные модные кошельки для женщин, кошелек для кредитных карт, кошельки для девушек, Carteira ...		301,03 руб.	//aliexpress.ru/item/1005001444979793.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-6&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000041963078	Женский кошелек из искусственной кожи, Женский Длинный кошелек с золотыми листьями, Сумочка для женщин, кошелек для монет, держатель для кар...	1187 продано	191,42 - 314,54 руб.	//aliexpress.ru/item/4000041963078.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-7&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001365656008	Женские кошельки 2020, маленький кожаный кошелек, модный бренд, женская сумка для карт, клатч, Женский кошелек, зажим для денег, тонкий кошелек ...	515 продано	123,12 руб.	//aliexpress.ru/item/4001365656008.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-8&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32906958263	Роскошная деловая однотонная сумка на двойной молнии от WILLIAMPOLO, длинная мужская сумка-кошелек	61 продано	2 835,56 руб.	//aliexpress.ru/item/32906958263.html?s=p&ad_pvid=2020092503465917625561685526320002505453_2&algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-9&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
